iter	Passed	Remaining
0	2	2456
1	5	2530
2	7	2502
3	9	2463
4	12	2474
5	14	2436
6	16	2397
7	19	2382
8	21	2383
9	24	2378
10	26	2364
11	28	2355
12	30	2342
13	33	2325
14	35	2319
15	38	2342
16	40	2341
17	42	2337
18	45	2331
19	47	2344
20	50	2338
21	52	2328
22	54	2330
23	57	2328
24	59	2320
25	61	2312
26	63	2304
27	66	2302
28	68	2297
29	71	2303
30	73	2300
31	76	2314
32	78	2310
33	81	2310
34	83	2310
35	86	2306
36	88	2309
37	91	2305
38	93	2303
39	96	2311
40	98	2313
41	101	2316
42	104	2326
43	107	2330
44	109	2332
45	112	2337
46	115	2336
47	117	2339
48	120	2342
49	123	2345
50	126	2346
51	128	2349
52	131	2353
53	134	2357
54	137	2363
55	140	2362
56	142	2364
57	145	2367
58	148	2372
59	151	2375
60	154	2381
61	157	2389
62	161	2395
63	164	2402
64	167	2407
65	170	2415
66	173	2419
67	177	2427
68	180	2433
69	183	2438
70	186	2438
71	189	2436
72	192	2438
73	195	2444
74	197	2441
75	200	2437
76	203	2444
77	206	2441
78	209	2438
79	212	2438
80	214	2436
81	217	2433
82	220	2431
83	222	2428
84	225	2424
85	228	2428
86	231	2426
87	233	2422
88	236	2420
89	239	2416
90	241	2412
91	244	2411
92	246	2407
93	249	2404
94	252	2403
95	254	2400
96	257	2397
97	260	2398
98	263	2398
99	266	2401
100	269	2401
101	272	2398
102	274	2393
103	277	2393
104	280	2389
105	282	2383
106	285	2379
107	287	2373
108	289	2368
109	291	2361
110	294	2356
111	296	2351
112	298	2345
113	301	2342
114	303	2337
115	305	2331
116	308	2325
117	310	2321
118	313	2317
119	315	2313
120	318	2310
121	320	2309
122	323	2307
123	326	2305
124	329	2303
125	331	2302
126	334	2301
127	337	2300
128	340	2298
129	343	2297
130	346	2297
131	349	2295
132	351	2293
133	354	2290
134	357	2289
135	360	2290
136	363	2290
137	366	2286
138	368	2285
139	371	2283
140	374	2280
141	377	2279
142	379	2277
143	382	2274
144	385	2273
145	388	2270
146	390	2267
147	393	2264
148	395	2261
149	398	2258
150	401	2257
151	404	2254
152	406	2251
153	409	2249
154	412	2246
155	414	2243
